Length,(1/2,0.622),(3/4,0.824),(1,1.049),(1 1/4,1.380),(1 1/2,1.610),(2,2.067),(2 1/2,2.469),(3,3.068),(4,4.026)
10,1510,3040,5560,11400,17100,32900,52500,92800,180000
20,1070,2150,3930,8070,12100,23300,37100,65600,134000
30,869,1760,3210,6590,9880,19000,30300,53600,109000
40,753,1520,2780,5710,8550,16500,26300,46400,94700
50,673,1360,2490,5110,7650,14700,23500,41500,84700
60,615,1240,2270,4660,6980,13500,21400,37900,77300
70,569,1150,2100,4320,6470,12500,19900,35200,71600
80,532,1080,1970,4040,6050,11700,18600,32900,67000
90,502,1010,1850,3810,5700,11000,17500,30900,63200
100,462,934,1710,3510,5260,10100,16100,28500,58100
125,414,836,1530,3140,4700,9060,14400,25500,52100
150,372,751,1370,2820,4220,8130,13000,22900,46700
175,344,695,1270,2601,3910,7530,12000,21200,43300
200,318,642,1170,2410,3610,6960,11100,19600,40000
250,279,583,1040,2140,3210,6180,9850,17400,35500
300,253,528,945,1940,2910,5600,8920,15800,32200
350,232,486,869,1790,2670,5150,8210,14500,29600
400,216,452,809,1660,2490,4790,7640,13500,27500
450,203,424,759,1560,2330,4500,7170,12700,25800
500,192,401,717,1470,2210,4250,6770,12000,24400
550,182,381,681,1400,2090,4030,6430,11400,23200
600,174,363,650,1330,2000,3850,6130,10800,22100
650,166,348,622,1280,1910,3680,5870,10400,21200
700,160,334,598,1230,1840,3540,5640,9970,20300
750,154,322,576,1180,1770,3410,5440,9610,19600
800,149,311,556,1140,1710,3290,5250,9280,18900
850,144,301,538,1100,1650,3190,5080,8980,18300
900,139,292,522,1070,1600,3090,4930,8710,17800
950,135,283,507,1040,1560,3000,4780,8460,17200
1000,132,275,493,1010,1520,2920,4650,8220,16800
1100,125,262,468,960,1440,2770,4420,7810,15900
1200,119,250,446,917,1370,2640,4220,7450,15200
1300,114,239,427,878,1320,2530,4040,7140,14600
1400,110,230,411,843,1260,2430,3880,6860,14000
1500,106,221,396,812,1220,2340,3740,6600,13500
1600,102,214,382,784,1180,2260,3610,6380,13000
1700,99,207,370,759,1140,2190,3490,6170,12600
1800,96,200,358,736,1100,2120,3390,5980,12200
1900,93,195,348,715,1070,2060,3290,5810,11900
2000,91,189,339,695,1040,2010,3200,5650,11500
