Nominal,1/2,3/4,1,1-1/4,1-1/2,2,2-1/2,3,4
Actual Id,0.622,0.824,1.049,1.380,1.610,2.067,2.469,3.068,4.026
Length, Capacity In Cubic Feet Of Gas Per Hour
10,3190,6430,11800,24200,36200,69700,111000,196000,401000
20,2250,4550,8320,17100,25600,49300,78600,139000,283000
30,1840,3720,6790,14000,20900,40300,64200,113000,231000
40,1590,3220,5880,12100,18100,34900,55600,98200,200000
50,1430,2880,5260,10800,16200,31200,49700,87900,179000
60,1300,2630,4800,9860,14800,28500,45400,80200,164000
70,1200,2430,4450,9130,13700,26400,42000,74300,151000
80,1150,2330,4260,8540,12800,24700,39300,69500,142000
90,1060,2150,3920,8050,12100,23200,37000,65500,134000
100,979,1980,3620,7430,11100,21400,34200,60400,123000
125,876,1770,3240,6640,9950,19200,30600,54000,110000
150,786,1590,2910,5960,8940,17200,27400,48500,98900
175,728,1470,2690,5520,8270,15900,25400,44900,91700
200,673,1360,2490,5100,7650,14700,23500,41500,84700
250,558,1170,2200,4510,6760,13000,20800,36700,74900
300,506,1060,1990,4090,6130,11800,18800,33300,67800
350,465,973,1830,3760,5640,10900,17300,30600,62400
400,433,905,1710,3500,5250,10100,16200,28500,58100
450,406,849,1600,3290,4920,9480,15100,26700,54500
500,384,802,1510,3100,4650,8950,14300,25200,51500
550,364,762,1440,2950,4420,8500,13600,24000,48900
600,348,727,1370,2810,4210,8110,12900,22900,46600
650,333,696,1310,2690,4030,7770,12400,21900,44600
700,320,669,1260,2590,3880,7460,11900,21000,42900
750,308,644,1210,2490,3730,7190,11500,20300,41500
800,298,622,1170,2410,3610,6940,11100,19600,39900
850,288,602,1130,2330,3490,6720,10700,18900,38600
900,279,584,1100,2260,3380,6520,10400,18400,37400
950,271,567,1070,2190,3290,6330,10100,17800,36400
1000,264,551,1040,2130,3200,6150,9810,17300,35400
1100,250,524,987,2030,3030,5840,9320,16500,33600
1200,239,500,941,1930,2900,5580,8890,15700,32000
1300,229,478,901,1850,2770,5340,8510,15000,30700
1400,220,460,866,1310,1970,3790,8180,14500,29500
1500,212,443,834,1710,2570,4940,7880,13900,28400
1600,205,428,806,1650,2480,4770,7610,13400,27400
1700,198,414,780,1600,2400,4620,7360,13000,26500
1800,192,401,756,1550,2330,4480,7140,12600,25700
1900,186,390,734,1510,2260,4350,6930,12300,25000
2000,181,379,714,1470,2200,4230,6740,11900,24300
