Nominal,1/2,3/4,1,1-1/4,1-1/2,2,2-1/2,3,4
Actual Id,0.622,0.824,1.049,1.380,1.610,2.067,2.469,3.068,4.026
Length,Capacity In Cubic Feet Of Gas Per Hour,-,-,-,-,-,-,-,-
10,2350,4920,9270,19000,28500,54900,87500,155000,316000
20,1620,3380,6370,13100,19600,37700,60100,106000,217000
30,1300,2720,5110,10500,15700,30300,48300,85400,174000
40,1110,2320,4380,8990,13500,25900,41300,73000,149000
50,985,2060,3880,7970,11900,23000,36600,64800,132000
60,892,1870,3520,7220,10800,20800,33200,58700,120000
70,821,1720,3230,6640,9950,19200,30500,54000,110000
80,764,1600,3010,6180,9260,17800,28400,50200,102000
90,717,1500,2820,5800,8680,16700,26700,47100,96100
100,677,1420,2670,5470,8200,15800,25200,44500,90800
125,600,1250,2360,4850,7270,14000,22300,39500,80500
150,544,1140,2140,4400,6590,12700,20200,35700,72900
175,500,1050,1970,4040,6060,11700,18600,32900,67100
200,465,973,1830,3760,5640,10900,17300,30600,62400
250,412,862,1620,3330,5000,9620,15300,27100,55300
300,374,781,1470,3020,4530,8720,13900,24600,50100
350,344,719,1350,2780,4170,8020,12800,22600,46100
400,320,669,1260,2590,3870,7460,11900,21000,42900
450,300,627,1180,2430,3640,7000,11200,19700,40200
500,283,593,1120,2290,3430,6610,10500,18600,38000
550,269,563,1060,2180,3260,6280,10000,17700,36100
600,257,537,1010,2080,3110,5990,9550,16900,34400
650,246,514,969,1990,2980,5740,9150,16200,33000
700,236,494,931,1910,2860,5510,8790,15500,31700
750,228,476,897,1840,2760,5310,8470,15000,30500
800,220,460,866,1780,2660,5130,8180,14500,29500
850,213,445,838,1720,2580,4960,7910,14000,28500
900,206,431,812,1670,2500,4810,7670,13600,27700
950,200,419,789,1620,2430,4670,7450,13200,26900
1000,195,407,767,1580,2360,4550,7240,12800,26100
1100,185,387,729,1500,2240,4320,6890,12200,24800
1200,177,369,695,1430,2140,4120,6570,11600,23700
1300,169,353,666,1370,2050,3940,6290,11100,22700
1400,162,340,640,1310,1970,3790,6040,10700,21800
1500,156,327,616,1270,1900,3650,5820,10300,21000
1600,151,316,595,1220,1830,3530,5620,10000,20300
1700,146,306,576,1180,1770,3410,5440,9610,19600
1800,142,296,558,1150,1720,3310,5270,9320,19000
1900,138,288,542,1110,1670,3210,5120,9050,18500
2000,134,280,527,1080,1620,3120,4980,8800,18000
