Nominal K&L,1/4,3/8,1/2,5/8,3/4,1,1-1/4,1-1/2,2
Nominal ACR,3/8,1/2,5/8,3/4,7/8,1-1/8,1-3/8,-,-
Outside,0.375,0.5,0.625,0.750,0.875,1.125,1.375,1.625,2.125
Inside,0.305,0.402,0.527,0.652,0.745,0.995,1.245,1.481,1.959
Length,Capacity In Cubic Feet of Gas Per Hour
10,45,93,188,329,467,997,1800,2830,5890
20,31,64,129,226,321,685,1230,1950,4050
30,25,51,104,182,258,550,991,1560,3250
40,21,44,89,155,220,471,848,1340,2780
50,19,39,79,138,195,417,752,1180,2470
60,17,35,71,125,177,378,681,1070,2240
70,16,32,66,115,163,348,626,988,2060
80,15,30,61,107,152,324,583,919,1910
90,14,28,57,100,142,304,547,862,1800
100,13,27,54,95,134,287,517,814,1700
125,11,24,48,84,119,254,458,722,1500
150,10,21,44,76,108,230,415,654,1360
175,10,21,40,70,99,212,382,602,1250
200,NA,18,37,65,92,197,355,560,1170
250,NA,16,33,58,82,175,315,496,1030
300,NA,15,30,52,74,158,285,449,936
350,NA,14,28,48,68,146,262,414,861
400,NA,13,26,45,63,136,244,385,801
450,NA,12,24,42,60,127,229,361,752
500,NA,11,23,40,56,120,216,341,710
550,NA,11,22,38,53,114,205,324,674
600,NA,10,21,36,51,109,196,309,643
650,NA,10,20,34,49,104,188,296,616
700,NA,NA,19,33,47,100,180,284,592
750,NA,NA,18,32,45,96,174,274,570
800,NA,NA,18,31,44,93,168,264,551
850,NA,NA,17,30,42,90,162,256,533
900,NA,NA,17,29,41,87,157,248,517
950,NA,NA,16,28,40,85,153,241,502
1000,NA,NA,16,27,39,83,149,234,488
1100,NA,NA,15,26,37,78,141,223,464
1200,NA,NA,14,25,35,75,135,212,442
1300,NA,NA,14,24,34,72,129,203,423
1400,NA,NA,13,23,32,69,124,195,407
1500,NA,NA,13,22,31,66,119,188,392
1600,NA,NA,12,21,30,64,115,182,378
1700,NA,NA,12,20,29,62,112,176,366
1800,NA,NA,11,20,28,60,108,170,355
1900,NA,NA,11,19,27,58,105,166,345
2000,NA,NA,11,19,27,57,102,161,335
