Length,(1/4,3/8,0.375,0.305),(3/8,1/2,.5,.402),(1/2,5/8,.625,.527),(5/8,3/4,.75,.652),(3/4,7/8,.875,.745),(1,1-1/8,1.125,.995),(1-1/4,1-3/8,1.37,1.245),(1-1/2,-,1.625, 1.481),(2,-,2.125,1.959)
10,27,55,111,195,276,406,590,1060,1680,3490
20,18,38,77,134,190,270,403,730,1150,2400
30,15,30,61,107,152,226,326,586,925,1930
40,13,26,53,92,131,279,502,791,1650
50,11,23,47,82,116,247,445,701,1460
60,10,21,43,76,108,225,403,635,1320
70,NA,19,39,68,96,206,371,585,1220
80,NA,18,36,63,90,192,345,544,1130
90,NA,17,34,59,84,180,324,510,1060
100,NA,16,32,56,79,170,306,482,1000
125,NA,14,28,50,70,151,271,427,890
150,NA,13,26,45,64,136,245,387,806
175,NA,12,24,41,59,125,226,356,742
200,NA,11,22,39,55,117,210,331,690
250,NA,NA,20,34,48,103,186,294,612
300,NA,NA,18,31,44,94,169,266,554
350,NA,NA,16,28,40,86,155,245,510
400,NA,NA,15,26,38,80,144,228,474
450,NA,NA,14,25,35,75,135,214,445
500,NA,NA,13,23,33,71,128,202,420
550,NA,NA,13,22,32,68,122,192,399
600,NA,NA,12,21,30,64,116,183,381
650,NA,NA,12,20,29,62,111,175,364
700,NA,NA,11,20,28,59,107,168,350
750,NA,NA,11,19,27,57,103,162,338
800,NA,NA,10,18,26,55,99,156,326
850,NA,NA,10,18,25,53,96,151,315
900,NA,NA,NA,17,24,52,93,147,306
950,NA,NA,NA,17,24,50,90,143,297
1000,NA,NA,NA,16,23,49,88,139,289
1100,NA,NA,NA,NA,22,46,84,132,275
1200,NA,NA,NA,15,21,44,80,126,262
1300,NA,NA,NA,14,20,42,76,120,251
1400,NA,NA,NA,13,19,41,73,116,241
1500,NA,NA,NA,13,18,39,71,111,232
1600,NA,NA,NA,13,18,38,68,108,224
1700,NA,NA,NA,12,17,37,66,104,217
1800,NA,NA,NA,12,17,36,64,101,210
1900,NA,NA,NA,11,16,35,62,98,204
2000,NA,NA,NA,11,16,34,60,95,199
