Nominal K&L,1/4,3/8,1/2,5/8,3/4,1,1-1/4,1-1/2,2
Nominal ACR,3/8,1/2,5/8,3/4,7/8,1-1/8,1-3/8,-,-
Outside,0.375,0.5,0.625,0.750,0.875,1.125,1.375,1.625,2.125
Inside,0.305,0.402,0.527,0.652,0.745,0.995,1.245,1.481,1.959
Length,Capacity In Cubic Feet of Gas Per Hour
10,511,1050,2140,3750,5320,11400,20400,32200,67100
20,351,724,1470,2580,3650,7800,14000,22200,46100
30,282,582,1180,2070,2930,6270,11300,17800,37000
40,241,498,1010,1770,2510,5360,9660,15200,31700
50,214,441,898,1570,2230,4750,8560,13500,28100
60,194,400,813,1420,2020,4310,7750,12200,25500
70,178,368,748,1310,1860,3960,7130,11200,23400
80,166,342,696,1220,1730,3690,6640,10500,21800
90,156,321,653,1140,1620,3460,6230,9820,20400
100,147,303,617,1080,1530,3270,5880,9270,19300
125,130,269,547,955,1360,2900,5210,8220,17100
150,118,243,495,866,1230,2620,4720,7450,15500
175,109,224,456,796,1130,2410,4350,6850,14300
200,101,208,424,741,1050,2250,4040,6370,13300
250,90,185,376,657,932,1990,3580,5650,11800
300,81,167,340,595,844,1800,3250,5120,10700
350,75,154,313,547,777,1660,2990,4710,9810
400,69,143,291,509,722,1540,2780,4380,9120
450,65,134,273,478,678,1450,2610,4110,8560
500,62,127,258,451,640,1370,2460,3880,8090
550,58,121,245,429,608,1300,2340,3690,7680
600,56,115,234,409,580,1240,2230,3520,7330
650,53,110,224,392,556,1190,2140,3370,7020
700,51,106,215,376,534,1140,2050,3240,6740
750,49,102,207,362,514,1100,1980,3120,6490
800,48,98,200,350,497,1060,1910,3010,6270
850,46,95,194,339,481,1030,1850,2910,6070
900,45,92,188,328,466,1000,1790,2820,5880
950,43,90,182,319,452,967,1740,2740,5710
1000,42,87,177,310,440,940,1690,2670,5560
1100,40,83,169,295,418,893,1610,2530,5280
1200,38,79,161,281,399,852,1530,2420,5040
1300,37,76,154,269,382,816,1470,2320,4820
1400,35,73,148,259,367,784,1410,2220,4630
1500,34,70,143,249,353,755,1360,2140,4460
1600,33,68,138,241,341,729,1310,2070,4310
1700,32,65,133,233,330,705,1270,2000,4170
1800,31,63,129,226,320,684,1230,1940,4040
1900,30,62,125,219,311,664,1200,1890,3930
2000,29,60,122,213,302,646,1160,1830,3820
