Nominal K&L,1/4,3/8,1/2,5/8,3/4,1,1-1/4,1-1/2,2
Nominal ACR,3/8,1/2,5/8,3/4,7/8,1-1/8,1-3/8,-,-
Outside,0.375,0.5,0.625,0.750,0.875,1.125,1.375,1.625,2.125
Inside,0.305,0.402,0.527,0.652,0.745,0.995,1.245,1.481,1.959
Length,Capacity In Cubic Feet of Gas Per Hour
10,245,506,1030,1800,2550,5450,9740,15500,32200
20,169,348,708,1240,1760,3750,6750,10600,22200
30,135,279,568,993,1410,3010,5420,8550,17800
40,116,239,486,850,1210,2580,4640,7310,15200
50,103,212,431,754,1070,2280,4110,6480,13500
60,93,192,391,683,969,2070,3730,5870,12200
70,86,177,359,628,891,1900,3430,5400,11300
80,80,164,334,584,829,1770,3190,5030,10500
90,75,154,314,548,778,1660,2990,4720,9820
100,71,146,296,518,735,1570,2830,4450,9280
125,63,129,263,459,651,1390,2500,3950,8220
150,57,117,238,416,590,1260,2270,3580,7450
175,52,108,219,383,543,1160,2090,3290,6850
200,49,100,204,356,505,1080,1940,3060,6380
250,43,89,181,315,448,956,1720,2710,5650
300,39,80,164,286,406,866,1560,2460,5120
350,36,74,150,263,373,797,1430,2260,4710
400,33,69,140,245,347,741,1330,2100,4380
450,31,65,131,230,326,696,1250,1970,4110
500,30,61,124,217,308,657,1180,1870,3880
550,28,58,118,206,292,624,1120,1770,3690
600,27,55,112,196,279,595,1070,1690,3520
650,26,53,108,188,267,570,1030,1620,3370
700,25,51,103,181,256,548,986,1550,3240
750,24,49,100,174,247,528,950,1500,3120
800,23,47,96,168,239,510,917,1450,3010
850,22,46,93,163,231,493,888,1400,2920
900,22,44,90,158,224,478,861,1360,2830
950,21,43,88,153,217,464,836,1320,2740
1000,20,42,85,149,211,452,813,1280,2670
1100,19,40,81,142,201,429,772,1220,2540
1200,18,38,77,135,192,409,737,1160,2420
1300,18,36,74,129,183,392,705,1110,2320
1400,17,35,71,124,176,376,678,1070,2230
1500,16,34,68,120,170,363,653,1030,2140
1600,16,33,66,116,164,350,630,994,2070
1700,15,31,64,112,159,339,610,962,2000
1800,15,30,62,108,154,329,592,933,1940
1900,14,29,60,105,149,319,575,906,1890
2000,14,29,59,102,145,310,559,881,1830
