Flow Designation,13,15,18,19,23,25,30,31,37,39,46,48,60,62
Length,Capacity In Cubic Feet Of Gas Per Hour
10,426,558,927,1110,1740,2170,4100,4720,7130,7958,15200,16800,29400,34200
25,262,347,591,701,1120,1380,2560,2950,4560,5147,9550,10700,18800,21700
30,238,316,540,640,1030,1270,2330,2690,4180,4719,8710,9790,17200,19800
40,203,271,469,554,896,1100,2010,2320,3630,4116,7530,8500,14900,17200
50,181,243,420,496,806,986,1790,2070,3260,3702,6730,7610,13400,15400
75,147,196,344,406,663,809,1460,1690,2680,3053,5480,6230,11000,12600
80,140,189,333,393,643,768,1410,1630,2590,2961,5300,6040,10600,12200
100,124,169,298,350,578,703,1260,1450,2330,2662,4740,5410,9530,10900
150,101,137,245,287,477,575,1020,1180,1910,2195,3860,4430,7810,8890
200,86,118,213,248,415,501,880,1020,1660,1915,3340,3840,6780,7710
250,77,105,191,222,373,448,785,910,1490,1722,2980,3440,6080,6900
300,69,96,173,203,343,411,716,829,1360,1578,2720,3150,5560,6300
400,60,82,151,175,298,355,616,716,1160,1376,2350,2730,4830,5460
500,53,72,135,158,268,319,550,638,1030,1237,2100,2450,4330,4880
