Flow Designation,13,15,18,19,23,25,30,31,37,39,46,48,60,62
Length,Capacity In Cubic Feet Of Gas Per Hour
5,173,229,389,461,737,911,1690,1950,3000,3375,6280,7050,12400,14260
10,120,160,277,327,529,649,1180,1370,2140,2423,4430,5010,8800,10100
15,96,130,227,267,436,532,960,1110,1760,1996,3610,4100,7210,8260
20,83,112,197,231,380,462,828,958,1530,1740,3120,3560,6270,7160
25,74,99,176,207,342,414,739,855,1370,1564,2790,3190,5620,6400
30,67,90,161,189,313,379,673,778,1250,1433,2540,2910,5140,5850
40,57,78,140,164,273,329,580,672,1090,1249,2200,2530,4460,5070
50,51,69,125,147,245,295,518,599,978,1123,1960,2270,4000,4540
60,46,63,115,134,225,270,471,546,895,1029,1790,2070,3660,4140
70,42,58,106,124,209,250,435,505,830,956,1660,1920,3390,3840
80,39,54,100,116,196,234,407,471,778,897,1550,1800,3180,3590
90,37,51,94,109,185,221,383,444,735,848,1460,1700,3000,3390
100,35,48,89,104,176,210,363,421,698,806,1380,1610,2850,3210
150,28,39,73,85,145,172,294,342,573,664,1130,1320,2340,2630
200,24,34,63,73,126,149,254,295,498,579,974,1140,2030,2280
250,21,30,57,66,114,134,226,263,447,520,870,1020,1820,2040
300,19,27,52,60,104,122,206,240,409,477,793,936,1660,1860
