Length,13,15,18,19,23,25,30,31,37,39,46,48,60,62
5,120,160,277,327,529,649,1180,1370,2140,2423,4430,5010,8800,10100
10,83,112,197,231,380,462,828,958,1530,1740,3200,3560,6270,7160
15,67,90,161,189,313,379,673,778,1250,1433,2540,2910,5140,5850
20,57,78,140,164,273,329,580,672,1090,1249,2200,2530,4460,5070
25,51,69,125,147,245,295,518,599,978,1123,1960,2270,4000,4540
30,46,63,115,134,225,270,471,546,895,1029,1790,2070,3660,4140
40,39,54,100,116,196,234,407,471,778,897,1550,1800,3180,3590
50,35,48,89,104,176,210,363,421,698,806,1380,1610,2850,3210
60,32,44,82,95,161,192,330,383,639,739,1260,1470,2600,2930
70,29,41,76,88,150,178,306,355,593,686,1170,1360,2420,2720
80,27,38,71,82,141,167,285,331,555,644,1090,1280,2260,2540
90,26,36,67,77,133,157,268,311,524,609,1030,1200,2140,2400
100,24,34,63,73,126,149,254,295,498,579,974,1140,2030,2280
150,19,27,52,60,104,122,206,240,409,477,793,936,1660,1860
200,17,23,45,52,91,106,178,207,355,415,686,812,1440,1610
250,15,21,40,46,82,95,159,184,319,373,613,728,1290,1440
300,13,19,37,42,75,87,144,168,234,342,559,665,1180,1320
