10,2680,5590,10500,21600,32400,62400,99500,176000,359000
20,1840,3850,7240,14900,22300,42900,68400,121000,247000
30,1480,3090,5820,11900,17900,34500,54900,97100,198000
40,1260,2640,4980,10200,15400,29500,47000,83100,170000
50,1120,2340,4410,9060,13600,26100,41700,73700,150000
60,1010,2120,4000,8210,12300,23700,37700,66700,136000
70,934,1950,3680,7550,11300,21800,34700,61400,125000
80,869,1820,3420,7020,10500,20300,32300,57100,116000
90,815,1700,3210,6590,9880,19000,30300,53600,109000
100,770,1610,3030,6230,9330,18000,28600,50500,103000
125,682,1430,2690,5520,8270,15900,25400,44900,91500
150,618,1290,2440,5000,7490,14400,23000,40700,82900
175,569,1190,2240,4600,6890,13300,21200,37400,76200
200,529,1110,2080,4280,6410,12300,19700,34800,71000
250,469,981,1850,3790,5680,10900,17400,30800,62900
300,425,889,1670,3440,5150,9920,15800,27900,57000
350,391,817,1540,3160,4740,9120,14500,25700,52400
400,364,760,1430,2940,4410,8490,13500,23900,48800
450,341,714,1340,2760,4130,7960,12700,22400,45800
500,322,674,1270,2610,3910,7520,12000,21200,43200
550,306,640,1210,2480,3710,7140,11400,20100,41100
600,292,611,1150,2360,3540,6820,10900,19200,39200
650,280,585,1100,2260,3390,6530,10400,18400,37500
700,269,562,1060,2170,3260,6270,9990,17700,36000
750,259,541,1020,2090,3140,6040,9630,17000,34700
800,250,523,985,2020,3030,5830,9300,16400,33500
850,242,506,953,1960,2930,5640,9000,15900,32400
900,235,490,924,1900,2840,5470,8720,15400,31500
950,228,476,897,1840,2760,5310,8470,15000,30500
1000,222,463,873,1790,2680,5170,8240,14600,29700
1100,210,440,829,1700,2550,4910,7830,13800,28200
1200,201,420,791,1620,2430,4680,7470,13200,26900
1300,192,402,757,1550,2330,4490,7150,12600,25800
1400,185,386,727,1490,2240,4310,6870,12100,24800
1500,178,372,701,1440,2160,4150,6620,11700,23900
1600,172,359,677,1390,2080,4010,6390,11300,23000
1700,166,348,655,1340,2010,3880,6180,10900,22300
1800,161,337,635,1300,1950,3760,6000,10600,21600
1900,157,327,617,1270,1900,3650,5820,10300,20900
2000,152,318,600,1230,1840,3550,5660,10000,20400
